Point Name,Latitude,Longitude,Ellipsoidal height,Code,North,East,Height,Antenna Height,Solution,UTC Start Time,UTC End Time,Local Time,SD to Base,HD to Base,Diff Age,HRMS,VRMS,PDOP,SAT Locked,SAT Visible,Antenna Type,Input Antenna Height,Average Times,Ellipsoid Height,HD to Last,Total HD,SD to Last,Total SD,Height Difference from Last Point,Locked SAT Detail,Base ID,Base Lat,Base Lon,Base Ellipsoid Height,Offset Dist,Chainage,Stake Chainage,Stake Height,Stake Designed H,Stake Designed H Diff,Tilt Survey,TPI,Point ID,Point Type
GCP 1,6.41422815,-1.34328252,264.198,,734851.753,691089.955,867.204,5.906,Fixed,2024-09-06 09:59:19,2024-09-06 09:59:19,2024-09-06 10:59:19,8586.047,8585.654,1,0.0065795137,0.0107,1.49,32,33,Real Height,5.906,1,872.697,0.000,0.000,0.000,0.000,0.000,G11+R6+C8+E7,0,6.40254963,-1.33559261,271.1609,0.000,0.000,0.000,0.000,0.000,0.000,No,No,1,0
GCP 3,6.41376896,-1.34355440,265.911,,734389.375,690815.513,872.848,5.906,Fixed,2024-09-06 10:04:24,2024-09-06 10:04:24,2024-09-06 11:04:24,8299.592,8299.223,1,0.0021400934,0.0047,1.64,31,32,Real Height,5.906,1,878.318,537.691,537.691,537.720,537.720,-5.645,G9+R5+C9+E8,0,6.40254963,-1.33559261,271.1609,0.000,0.000,0.000,0.000,0.000,0.000,No,No,2,0
GCP 4,6.41360220,-1.34387007,265.500,,734221.715,690497.294,871.510,5.906,Fixed,2024-09-06 10:08:15,2024-09-06 10:08:15,2024-09-06 11:08:15,8313.047,8312.674,1,0.010948059,0.0287,1.84,25,27,Real Height,5.906,1,876.970,359.685,897.375,359.687,897.407,1.338,G8+R5+C8+E4,0,6.40254963,-1.33559261,271.1609,0.000,0.000,0.000,0.000,0.000,0.000,No,No,3,0
GCP 8,6.41363135,-1.34314927,272.252,,734250.232,691223.488,893.656,5.906,Fixed,2024-09-06 10:15:21,2024-09-06 10:15:21,2024-09-06 11:15:21,7986.916,7986.573,1,0.003753665,0.0094,1.73,28,29,Real Height,5.906,1,899.120,726.753,1624.128,727.090,1624.498,-22.145,G9+R4+C9+E6,0,6.40254963,-1.33559261,271.1609,0.000,0.000,0.000,0.000,0.000,0.000,No,No,4,0
GCP 10,6.41336469,-1.34325771,271.892,,733981.666,691113.930,892.488,5.906,Fixed,2024-09-06 10:18:50,2024-09-06 10:18:50,2024-09-06 11:18:50,7798.825,7798.491,1,0.0043840623,0.0083,1.65,30,31,Real Height,5.906,1,897.939,290.053,1914.182,290.056,1914.553,1.167,G10+R5+C9+E6,0,6.40254963,-1.33559261,271.1609,0.000,0.000,0.000,0.000,0.000,0.000,No,No,5,0
GCP 9,6.41277857,-1.34299959,268.314,,733390.751,691373.277,880.777,5.906,Fixed,2024-09-06 10:28:09,2024-09-06 10:28:09,2024-09-06 11:28:09,7155.523,7155.212,1,0.005515433,0.012,2.13,28,28,Real Height,5.906,1,886.201,645.322,2559.504,645.428,2559.982,11.711,G8+R6+C9+E5,0,6.40254963,-1.33559261,271.1609,0.000,0.000,0.000,0.000,0.000,0.000,No,No,6,0
GCP 6,6.41252547,-1.34353287,266.568,,733136.351,690835.728,875.062,5.906,Fixed,2024-09-06 10:34:17,2024-09-06 10:34:17,2024-09-06 11:34:17,7214.049,7213.728,1,0.005731492,0.0112,1.6,33,34,Real Height,5.906,1,880.471,594.708,3154.212,594.736,3154.718,5.716,G11+R7+C9+E6,0,6.40254963,-1.33559261,271.1609,0.000,0.000,0.000,0.000,0.000,0.000,No,No,7,0
GCP 2,6.41259423,-1.34386986,260.664,,733206.033,690496.322,855.691,5.906,Fixed,2024-09-06 10:41:50,2024-09-06 10:41:50,2024-09-06 11:41:50,7462.906,7462.514,1,0.006363961,0.013,2.04,29,30,Real Height,5.906,1,861.102,346.485,3500.697,347.026,3501.744,19.371,G9+R6+C9+E5,0,6.40254963,-1.33559261,271.1609,0.000,0.000,0.000,0.000,0.000,0.000,No,No,8,0
GCP 7,6.41303257,-1.34347468,265.564,,733647.253,690894.954,871.745,5.906,Fixed,2024-09-06 10:45:59,2024-09-06 10:45:59,2024-09-06 11:45:59,7615.654,7615.309,1,0.0060207974,0.013,1.92,29,34,Real Height,5.906,1,877.179,594.628,4095.326,594.845,4096.589,-16.055,G9+R4+C10+E6,0,6.40254963,-1.33559261,271.1609,0.000,0.000,0.000,0.000,0.000,0.000,No,No,9,0
GCP 5,6.41433117,-1.34391236,260.187,,734956.303,690455.564,854.045,5.906,Fixed,2024-09-06 12:31:00,2024-09-06 12:31:00,2024-09-06 13:31:00,8970.039,8969.591,1,0.0077006496,0.0091,1.38,34,35,Real Height,5.906,1,859.538,1380.823,6856.753,1380.937,6858.242,17.700,G11+R7+C9+E7,0,6.40254963,-1.33559261,271.1609,0.000,0.000,0.000,0.000,0.000,0.000,Yes,No,11,0
